date,active_kcal,basal_kcal,resting_hr_bpm,hrv_sdnn_ms,vo2max_ml_kg_min,total_min,core_min,deep_min,rem_min,inbed_min,active_kcal_lag1,basal_kcal_lag1,resting_hr_bpm_lag1,hrv_sdnn_ms_lag1,vo2max_ml_kg_min_lag1,total_min_lag1,core_min_lag1,deep_min_lag1,rem_min_lag1,inbed_min_lag1,energy_score
2025-04-07 00:00:00+00:00,89.06900000000003,375.1877125826167,0.0,111.56458251358615,0.0,,,,,,,,,,,,,,,,464.25671258261673
2025-04-08 00:00:00+00:00,391.37400000000054,1607.1183169703186,56.0,96.49279172452293,33.64,300.5,184.5,53.0,61.0,0.0,89.06900000000003,375.1877125826167,0.0,111.56458251358615,0.0,,,,,,1998.492316970319
2025-04-09 00:00:00+00:00,333.4185601655433,1634.4045488280901,62.00000000000001,121.03702368215606,0.0,,,,,,391.37400000000054,1607.1183169703186,56.0,96.49279172452293,33.64,300.5,184.5,53.0,61.0,0.0,1967.8231089936335
2025-04-10 00:00:00+00:00,305.98843983445647,1606.1472317000748,54.0,105.23376189799413,0.0,545.5,299.5,101.0,134.0,0.0,333.4185601655433,1634.4045488280901,62.00000000000001,121.03702368215606,0.0,,,,,,1912.1356715345314
2025-04-11 00:00:00+00:00,372.53700000000015,1640.9965175477867,64.0,120.58371981565399,0.0,454.0,285.0,26.5,133.0,0.0,305.98843983445647,1606.1472317000748,54.0,105.23376189799413,0.0,545.5,299.5,101.0,134.0,0.0,2013.5335175477867
2025-04-12 00:00:00+00:00,255.4856248715106,1585.927824369936,56.0,108.31784880228017,0.0,418.0,277.5,15.5,124.5,0.0,372.53700000000015,1640.9965175477867,64.0,120.58371981565399,0.0,454.0,285.0,26.5,133.0,0.0,1841.4134492414464
2025-04-13 00:00:00+00:00,452.2263751284902,1684.2097427508027,56.0,137.46753339452437,0.0,407.5,245.0,73.5,87.5,0.0,255.4856248715106,1585.927824369936,56.0,108.31784880228017,0.0,418.0,277.5,15.5,124.5,0.0,2136.436117879293
2025-04-14 00:00:00+00:00,225.88800000000032,1592.6605365129924,61.0,104.00039110198674,0.0,,,,,,452.2263751284902,1684.2097427508027,56.0,137.46753339452437,0.0,407.5,245.0,73.5,87.5,0.0,1818.5485365129928
2025-04-15 00:00:00+00:00,487.82999999999913,1678.649630302343,61.0,98.1089818402764,34.44,399.5,184.5,87.0,125.5,0.0,225.88800000000032,1592.6605365129924,61.0,104.00039110198674,0.0,,,,,,2166.4796303023422
2025-04-16 00:00:00+00:00,623.3740000000017,1731.9257217985962,62.00000000000001,75.50023711310183,34.1,413.5,239.5,70.0,100.0,0.0,487.82999999999913,1678.649630302343,61.0,98.1089818402764,34.44,399.5,184.5,87.0,125.5,0.0,2355.299721798598
2025-04-17 00:00:00+00:00,487.843000000023,1322.0933400568947,65.0,88.8109700784832,33.8,383.0,229.5,83.0,63.5,0.0,623.3740000000017,1731.9257217985962,62.00000000000001,75.50023711310183,34.1,413.5,239.5,70.0,100.0,0.0,1809.9363400569177
2025-04-18 00:00:00+00:00,488.83300000000014,1682.6070644605823,64.0,91.36201923466952,0.0,490.0,309.0,60.5,115.5,0.0,487.843000000023,1322.0933400568947,65.0,88.8109700784832,33.8,383.0,229.5,83.0,63.5,0.0,2171.4400644605826
2025-04-19 00:00:00+00:00,345.32299999999935,1587.223261637469,57.0,63.11494575748424,33.73,296.5,128.5,19.0,17.0,0.0,488.83300000000014,1682.6070644605823,64.0,91.36201923466952,0.0,490.0,309.0,60.5,115.5,0.0,1932.5462616374684
2025-04-20 00:00:00+00:00,459.57999999999987,1673.336913947939,58.0,122.06250738762354,0.0,430.0,0.0,0.0,0.0,0.0,345.32299999999935,1587.223261637469,57.0,63.11494575748424,33.73,296.5,128.5,19.0,17.0,0.0,2132.9169139479386
2025-04-21 00:00:00+00:00,418.3970000000001,1655.2543097257778,62.00000000000001,117.28512996184017,0.0,428.0,285.0,46.0,96.5,0.0,459.57999999999987,1673.336913947939,58.0,122.06250738762354,0.0,430.0,0.0,0.0,0.0,0.0,2073.651309725778
2025-04-22 00:00:00+00:00,472.8799999999992,1619.6251641786212,65.0,82.02647663166852,34.09,404.0,186.5,68.0,59.0,0.0,418.3970000000001,1655.2543097257778,62.00000000000001,117.28512996184017,0.0,428.0,285.0,46.0,96.5,0.0,2092.5051641786204
2025-04-23 00:00:00+00:00,422.7640000000002,1627.9641626287566,72.0,96.73988966339547,33.3,419.0,253.5,68.0,96.0,0.0,472.8799999999992,1619.6251641786212,65.0,82.02647663166852,34.09,404.0,186.5,68.0,59.0,0.0,2050.7281626287568
2025-04-24 00:00:00+00:00,411.6850000000001,1138.0828526217417,65.0,89.23218828722058,33.27,128.5,86.0,30.0,12.5,0.0,422.7640000000002,1627.9641626287566,72.0,96.73988966339547,33.3,419.0,253.5,68.0,96.0,0.0,1549.767852621742
2025-04-25 00:00:00+00:00,287.14899999999983,1521.7292505418602,66.0,105.26024460724092,33.64,466.5,276.0,51.5,138.0,0.0,411.6850000000001,1138.0828526217417,65.0,89.23218828722058,33.27,128.5,86.0,30.0,12.5,0.0,1808.87825054186
2025-04-26 00:00:00+00:00,359.53899999999976,1626.9776879206222,57.0,101.85355843331429,0.0,368.5,224.0,20.0,122.5,0.0,287.14899999999983,1521.7292505418602,66.0,105.26024460724092,33.64,466.5,276.0,51.5,138.0,0.0,1986.516687920622
